Material1,Material2,Coefficient
"0.35","0.35",0.35
"0.35",Acetal,0.35
"0.35",ACETAL,0.35
"0.35",ACETAL RUN,0.35
"0.35",Aluminium,0.35
"0.35",AR NYLON,0.35
"0.35",ARB_DZ_ff,0.35
"0.35",BeltRollerARB,0.35
"0.35",BeltRollerNarrow,0.35
"0.35",BeltRollerS7000,0.35
"0.35",Black PU,0.35
"0.35",Bread,0.35
"0.35",CardBoard,0.35
"0.35",Chocolate,0.35
"0.35",Concrete,0.35
"0.35",Corrugated,0.35
"0.35",DETECTABLE PE,0.35
"0.35",DZ_ff,0.35
"0.35",EASY RELEASE PLUS,0.35
"0.35",EASY RELEASE TRACEABLE PP,0.35
"0.35",Elastomer,0.35
"0.35",ELEC COND ACTL,0.35
"0.35",ELEC COND PP COMPOSITE,0.35
"0.35",ENDURALOX PP,0.35
"0.35",F&N,0.35
"0.35",F&N Can Conv Plastic,0.35
"0.35",F&N Plastic Incline,0.35
"0.35","ff 0.01",0.35
"0.35","ff 0.02",0.35
"0.35","ff 0.05",0.35
"0.35","ff 0.1",0.35
"0.35","ff 0.2",0.35
"0.35","ff 0.3",35
"0.35","ff 0.4",0.35
"0.35","ff 0.5",0.35
"0.35","ff 0.6",0.35
"0.35","ff 0.8",0.35
"0.35","ff 1.0",0.35
"0.35","ff1.0",1
"0.35","FLAME RET. TPES",0.35
"0.35",Free Roller,0
"0.35",Frictionless,0
"0.35",GavityRoller,0.35
"0.35",Glass,0.35
"0.35",Glue,0.35
"0.35",Grey PU,0.35
"0.35",HIGH STRENGTH EC ACETAL,0.35
"0.35",Luggage,0.35
"0.35",Narrow Roller,0.35
"0.35",Nestle Plastic,0.35
"0.35",NYLON,0.35
"0.35",NYLON (FDA),0.35
"0.35",NYLON (NON-FDA),0.35
"0.35",Passive,0.35
"0.35",PE Plastic,0.35
"0.35",Plastic,0.35
"0.35",Polyethylene,0.35
"0.35",POLYETHYLENE,0.35
"0.35",Polypropylene,0.35
"0.35",POLYPROPYLENE,0.35
"0.35",POLYPROPYLENE COMPOSITE,0.35
"0.35",Polyurethane,0.35
"0.35",PVDF,0.35
"0.35",RollerBelt,0.35
"0.35",Rollers,0.35
"0.35",Rubber,0.35
"0.35",S7000_DZ_ff,0.35
"0.35",SELF EXTINGUISHING LOW MOISTURE,0.35
"0.35",Soft Bag,0.35
"0.35",TP package,0.35
"0.35",TransverseFriction,0.35
"0.35",UHMW,0.35
"0.35",UV RESISTANT ACETAL,0.35
"0.35",UV RESISTANT PP,0.35
"0.35",VeryStickyCardboard,0.35
"0.35",Wood,0.35
2,Wood,2
aaa,bbb,7
